carbonate_host,lithology_code,dist_faults,moho_depth,lab_depth,gravity,gravity_hgm,mag_rtp,mag_hgm,shape_index,split_id,label,x,y,row,col,sample_role
0.0,5.0,36503.426,41.470036,186.65233,162.9485,0.0031246117,165.79144,3.97483e-06,0.4065037,1,0,449750.0,-2315250.0,2325,1551,background
0.0,5.0,28539.447,37.744114,199.7727,-337.9681,0.01108417,177.75453,2.5052934e-06,-0.40194792,1,0,323250.0,-2657250.0,3009,1298,background
0.0,4.0,1500.0,41.791306,213.96657,72.60453,0.009078402,108.03113,1.5144326e-06,0.23000962,1,0,230250.0,-2045250.0,1785,1112,background
0.0,5.0,2236.0679,40.40698,186.36911,49.205093,0.010995557,131.78264,2.997576e-06,0.35554957,1,0,-98750.0,-1573250.0,841,454,background
0.0,5.0,37262.582,30.466217,162.20383,-0.280465,0.011251755,125.99959,2.156168e-06,0.38569754,1,0,-223750.0,-1447250.0,589,204,background
0.0,4.0,1118.0339,40.458294,200.9517,-178.97716,0.015440596,158.60248,4.6728446e-06,-0.9334752,1,0,-25250.0,-2688750.0,3072,601,background
0.0,5.0,8602.325,31.481052,194.76147,-178.11343,0.001556716,191.05165,3.5453497e-06,-0.48218384,1,0,285250.0,-2805750.0,3306,1222,background
0.0,5.0,8500.0,45.604343,184.24146,286.92255,0.012283118,163.09486,6.6131674e-06,0.028025368,1,0,51250.0,-2282750.0,2260,754,background
0.0,4.0,2500.0,38.20413,208.54799,-431.03067,0.014093511,122.82478,6.21214e-06,-0.6873364,1,0,254250.0,-2656250.0,3007,1160,background
0.0,5.0,20838.666,43.241844,218.27733,38.978554,0.009482904,148.12962,3.1228333e-06,0.290553,1,0,245250.0,-1997250.0,1689,1142,background
0.0,5.0,26500.0,30.315159,153.37785,-228.82031,0.009401411,137.32806,1.0357917e-06,0.32112,1,0,-277250.0,-1514750.0,724,97,background
0.0,5.0,15945.219,38.831516,196.90611,382.1046,0.0065802517,129.28943,1.9525987e-06,0.80844647,1,0,171250.0,-1279250.0,253,994,background
0.0,5.0,88092.28,43.560413,189.22136,-125.59438,0.0056429734,109.9779,1.4798925e-06,-0.13323662,1,0,98750.0,-2132250.0,1959,849,background
0.0,5.0,11280.515,45.208267,191.46039,-315.45386,0.0061720083,153.98596,4.867547e-06,0.14083739,1,0,164250.0,-2236250.0,2167,980,background
0.0,5.0,500.0,40.86092,185.45285,18.425467,0.0065156184,148.92142,3.8111837e-06,0.56349874,1,0,332750.0,-1462750.0,620,1317,background
0.0,4.0,11884.864,43.795784,200.9655,-708.79346,0.0051897266,141.16295,2.2520014e-06,-0.9047499,1,0,-83250.0,-2595250.0,2885,485,background
0.0,5.0,87642.74,42.433655,188.71468,-30.702646,0.0045930212,154.63097,1.03821e-05,-0.11033602,1,0,62250.0,-2061750.0,1818,776,background
1.0,1.0,1000.0,44.05885,190.0493,175.84552,0.010200504,162.9212,2.5308038e-06,0.48307472,1,0,440750.0,-1812750.0,1320,1533,background
1.0,5.0,9340.7705,36.621555,177.61932,-49.062836,0.0049191355,140.94241,2.7097688e-06,0.28172675,1,0,-166750.0,-1554250.0,803,318,background
0.0,5.0,11180.34,45.376514,188.12263,118.85531,0.020895192,102.522354,3.7316863e-06,0.06582745,1,0,117250.0,-2249750.0,2194,886,background
0.0,5.0,21400.934,48.31996,163.32344,114.96814,0.0028126675,147.63882,1.1817181e-06,0.5437973,1,0,452750.0,-1678250.0,1051,1557,background
0.0,5.0,12020.815,48.174843,164.52867,200.97517,0.0023061212,159.32979,8.078455e-07,0.53708345,1,0,434750.0,-1651250.0,997,1521,background
