carbonate_host,lithology_code,dist_faults,moho_depth,lab_depth,gravity,gravity_hgm,mag_rtp,mag_hgm,shape_index,label,x,y,row,col
0.0,6.0,2828.4272,42.04036,172.17915,-174.64264,0.00746632,236.43509,3.9022725e-06,0.1640591,0,-317250.0,-1802250.0,1299,17
0.0,5.0,2500.0,45.943115,194.16121,-769.69257,0.009220696,143.92976,6.939443e-06,-0.6680632,0,-59250.0,-2805250.0,3305,533
0.0,7.0,1802.7756,51.364864,198.76132,13.520961,0.009788511,77.7837,4.5870297e-06,0.23845667,0,342250.0,-2516750.0,2728,1336
0.0,6.0,3905.1248,40.83802,191.8567,130.87799,0.010810696,121.38625,3.945279e-06,0.81676424,0,85250.0,-1398750.0,492,822
1.0,1.0,66047.33,41.725224,185.28963,20.495731,0.01093697,95.27452,1.8788662e-06,0.6331075,0,575750.0,-2372750.0,2440,1803
0.0,5.0,18062.393,32.981983,160.1155,475.35107,0.006050507,132.51582,2.1794876e-06,0.633525,0,-167250.0,-1223250.0,141,317
0.0,5.0,16378.339,39.53659,173.3537,330.96747,0.008056586,73.19744,5.336601e-06,0.6191628,0,-214750.0,-1960750.0,1616,222
1.0,1.0,55362.44,44.232574,187.57936,-14.913795,0.0052813245,164.65671,5.090727e-07,0.91342324,0,38250.0,-1584750.0,864,728
0.0,4.0,3905.1248,34.91103,168.43541,170.78531,0.006672952,137.36627,1.6007201e-06,0.24778908,0,-207250.0,-1554750.0,804,237
0.0,4.0,94595.19,47.593033,172.5049,-271.90808,0.0028832508,124.52142,4.1969124e-06,-0.03974741,0,201250.0,-1833750.0,1362,1054
1.0,1.0,5385.165,49.989075,174.40045,155.2569,0.0058428734,150.4,2.251412e-06,0.5111476,1,425750.0,-1755250.0,1205,1503
0.0,5.0,500.0,48.929527,170.84181,47.7055,0.0022747857,140.19417,1.5432342e-06,0.4822604,0,383250.0,-1657750.0,1010,1418
0.0,5.0,3162.2776,48.308773,198.0798,43.306435,0.017831778,65.36947,3.1138027e-06,0.07051508,0,216250.0,-2473250.0,2641,1084
0.0,5.0,184271.53,37.53804,167.41565,-210.3308,0.0029506274,132.44489,1.625852e-06,-0.13751249,0,591750.0,-2821250.0,3337,1835
0.0,5.0,500.0,44.317535,174.1884,-47.92379,0.041540753,137.86781,6.104192e-06,0.12863015,0,-213250.0,-2345750.0,2386,225
0.0,4.0,14764.823,38.878967,189.86383,356.0604,0.004959576,141.76006,1.4310945e-06,0.78661656,0,-42250.0,-1375750.0,446,567
1.0,1.0,5700.877,42.41886,195.0138,1.9472202,0.003094631,164.6214,3.2861822e-06,0.3917579,0,381250.0,-2335250.0,2365,1414
0.0,5.0,11280.515,45.437317,204.58669,-202.35095,0.028087094,150.1433,1.978788e-06,-0.60810584,0,-250250.0,-2647250.0,2989,151
0.0,4.0,2500.0,41.64237,166.57454,-86.29485,0.0037110583,168.62387,3.864731e-06,-0.12514335,0,-226750.0,-1784750.0,1264,198
0.0,5.0,32314.857,41.849533,206.93483,-402.08478,0.0023175727,149.8953,8.036515e-06,-0.87237895,0,163750.0,-2712250.0,3119,979
0.0,5.0,64222.27,44.231216,186.32257,-86.097786,0.006713031,142.72456,3.108547e-06,0.5166544,0,22750.0,-1625750.0,946,697
0.0,5.0,1581.1388,45.826855,171.84232,262.25717,0.0073241713,143.63486,3.421039e-06,0.33863768,0,-189250.0,-2283750.0,2262,273
0.0,5.0,117337.125,42.690414,186.00677,-59.24733,0.008335224,160.89531,3.907607e-06,-0.1524556,0,20750.0,-2082250.0,1859,693
0.0,5.0,22500.0,45.905926,172.51125,91.80222,0.0027892524,152.51239,1.880302e-06,0.48941717,0,381750.0,-1605250.0,905,1415
0.0,5.0,6726.812,46.557556,192.64072,276.64825,0.005316222,129.6206,7.4629506e-06,0.2295971,0,186750.0,-2276750.0,2248,1025
1.0,1.0,16070.158,40.489483,185.72981,-99.955574,0.0056067514,147.61084,4.8192896e-06,0.3053517,0,624250.0,-2024750.0,1744,1900
0.0,5.0,2828.4272,37.29152,191.14891,262.11078,0.004795903,186.91664,2.2917732e-06,0.86789,0,73750.0,-1218750.0,132,799
0.0,5.0,5590.17,41.741642,172.96777,227.1315,0.0082397945,103.556435,2.6468967e-06,0.560456,0,-280750.0,-2311250.0,2317,90
