carbonate_host,lithology_code,dist_faults,moho_depth,lab_depth,gravity,gravity_hgm,mag_rtp,mag_hgm,shape_index,label,x,y
0.0,4.0,0.0,38.680458,169.18266,38.810005,0.0068918345,134.34163,4.308462e-07,-0.30088863,0,-198750.0,-1677250.0
0.0,5.0,7000.0,40.38248,189.69621,112.32297,0.006223863,131.59702,1.8988294e-06,0.573959,0,274750.0,-1471750.0
0.0,5.0,94366.305,42.779205,172.92781,171.61699,0.007036993,199.292,6.0878588e-06,0.07995992,0,111250.0,-1854750.0
0.0,4.0,2500.0,41.208313,204.83177,-352.90997,0.012373283,153.97902,6.886709e-07,-0.9241307,0,-16750.0,-2645250.0
0.0,5.0,3354.102,48.028812,199.21074,212.95163,0.006228053,72.83975,3.7571403e-06,0.09301328,0,-216250.0,-2809250.0
0.0,5.0,27459.06,39.65535,172.51015,286.50705,0.0012360835,103.97771,5.927558e-06,0.565613,0,-223750.0,-1936250.0
0.0,5.0,2915.4758,48.105896,204.08966,-263.09213,0.07630742,104.26488,6.2749837e-07,-0.73791057,0,106250.0,-2535750.0
0.0,5.0,9500.0,43.58162,192.85645,-72.97259,0.010305887,100.980255,1.1650035e-05,-0.6966178,0,-229250.0,-2514250.0
0.0,5.0,2828.4272,44.552494,188.03012,-432.4083,0.011635325,89.99475,5.183474e-06,0.008169633,0,61250.0,-2343750.0
0.0,4.0,707.1068,42.8495,195.64563,-647.04425,0.027678508,86.938065,5.9735416e-06,-0.79090375,0,-51250.0,-2516250.0
0.0,4.0,500.0,47.14116,176.7344,145.72536,0.004977286,190.1228,8.0963815e-07,0.3644251,0,291250.0,-1658750.0
0.0,4.0,6324.555,42.924347,197.09006,-57.709736,0.007925579,140.7911,2.7540377e-06,0.41616663,0,383750.0,-2419750.0
0.0,4.0,707.1068,43.16998,188.84267,58.15158,0.0058225766,145.25883,9.716625e-07,0.45330805,0,466750.0,-1810250.0
0.0,5.0,132568.84,37.682568,170.12114,-115.53165,0.004812984,126.55467,1.377143e-06,-0.067912616,0,549250.0,-2787250.0
0.0,5.0,16224.98,39.702324,176.5875,445.88428,0.010205154,143.39848,4.710537e-07,0.6725172,0,384250.0,-1327750.0
0.0,5.0,1000.0,43.792503,192.48494,114.595345,0.025158357,111.05931,1.1137379e-05,-0.5743997,0,-266750.0,-2503750.0
0.0,5.0,92408.06,42.850544,177.44437,16.717754,0.000406833,146.15677,9.286358e-06,-0.29284388,0,47250.0,-1732750.0
